0.024,0.016
0.024,0.02
0.022,0.022
0.024,0.024
0.024,0.028
0.022,0.03
0.024,0.032
0.024,0.194
0.026,0.196
0.024,0.198
0.024,0.202
0.026,0.204
0.024,0.206
0.024,0.208
0.026,0.21
0.026,0.212
0.024,0.214
0.026,0.216
0.026,0.302
0.028,0.304
0.026,0.306
0.028,0.308
0.028,0.37
0.03,0.372
0.03,0.374
0.028,0.376
0.028,0.378
0.03,0.38
0.03,0.384
0.028,0.386
0.03,0.388
0.03,0.444
0.032,0.446
0.03,0.448
0.03,0.45
0.032,0.452
0.03,0.454
0.03,0.456
0.032,0.458
0.03,0.46
0.032,0.462
0.032,0.47
0.03,0.472
0.032,0.474
0.032,0.512
0.034,0.514
0.032,0.516
0.032,0.522
0.034,0.524
0.032,0.526
0.032,0.528
0.034,0.53
0.034,0.594
0.036,0.596
0.034,0.598
0.034,0.604
0.036,0.606
0.034,0.608
0.034,0.614
0.036,0.616
0.034,0.618
0.034,0.622
0.036,0.624
0.034,0.626
0.036,0.628
0.036,0.744
0.038,0.746
0.038,0.764
0.04,0.766
0.04,0.77
0.042,0.772
0.042,0.774
0.044,0.776
0.044,0.782
0.046,0.784
0.046,0.788
0.048,0.79
0.048,0.794
0.05,0.796
0.05,0.802
0.052,0.804
0.052,0.806
0.056,0.81
0.056,0.812
0.06,0.816
0.06,0.818
0.062,0.82
0.062,0.822
0.064,0.824
0.064,0.826
0.07,0.832
0.07,0.834
0.074,0.838
0.074,0.84
0.086,0.852
0.086,0.854
0.094,0.862
0.096,0.862
0.096,0.864
0.104,0.872
0.106,0.872
0.116,0.882
0.118,0.882
0.122,0.886
0.124,0.886
0.132,0.894
0.134,0.894
0.138,0.898
0.14,0.898
0.144,0.902
0.148,0.902
0.154,0.908
0.156,0.908
0.158,0.91
0.16,0.91
0.162,0.912
0.164,0.912
0.166,0.914
0.168,0.914
0.172,0.918
0.176,0.918
0.178,0.92
0.18,0.92
0.182,0.922
0.184,0.922
0.186,0.924
0.188,0.924
0.19,0.926
0.192,0.926
0.194,0.928
0.196,0.928
